No.,Time,Source,Destination,Protocol,Length,Info
79,0.001001,244.97.76.229,162.131.209.252,TCP,580,80  >  34913 [ACK] Seq=537 Ack=1 Win=8576 Len=536
103,0.001327,3.195.230.163,162.131.199.252,TCP,1504,80  >  37639 [ACK] Seq=1 Ack=1 Win=32120 Len=1448[Packet size limited during capture]
186,0.002423,244.45.111.217,162.131.96.123,TCP,1504,"80  >  2966 [PSH, ACK] Seq=1449 Ack=1 Win=31856 Len=1448[Packet size limited during capture]"
424,0.005812,227.247.180.181,115.48.122.194,TCP,264,"2189  >  3026 [PSH, ACK] Seq=1 Ack=1 Win=7941 Len=220[Packet size limited during capture]"
786,0.010947,244.67.6.178,0.3.117.180,TCP,44,13552  >  80 [ACK] Seq=1 Ack=1 Win=8760 Len=0
917,0.012485,3.3.131.202,2.165.134.78,TCP,1496,80  >  4242 [ACK] Seq=1 Ack=1 Win=24684 Len=1452[Packet size limited during capture]
1173,0.016324,245.227.185.206,236.40.126.25,TCP,64,2866  >  4254 [ACK] Seq=1 Ack=1 Win=8484 Len=0[Packet size limited during capture]
1239,0.017068,236.189.49.224,140.138.184.6,TCP,44,80  >  1389 [ACK] Seq=1 Ack=1 Win=8457 Len=0
1249,0.017178,236.19.147.253,3.176.114.175,TCP,44,8080  >  1750 [ACK] Seq=1 Ack=1 Win=5840 Len=0
1383,0.018716,227.247.180.175,115.46.176.179,TCP,198,"2189  >  1041 [PSH, ACK] Seq=1 Ack=1 Win=29165 Len=154[Packet size limited during capture]"
1389,0.018796,3.196.40.128,162.131.189.129,TCP,1504,80  >  2983 [ACK] Seq=1449 Ack=1 Win=33304 Len=1448[Packet size limited during capture]
1420,0.01918,238.57.159.133,243.214.199.24,TCP,1264,80  >  52144 [ACK] Seq=1 Ack=1 Win=24616 Len=1208[Packet size limited during capture]
1553,0.020671,69.88.197.172,115.32.35.236,TCP,919,"4662  >  2686 [PSH, ACK] Seq=1 Ack=1 Win=16072 Len=875[Packet size limited during capture]"
1688,0.023018,238.109.204.173,238.14.207.3,TCP,44,80  >  43668 [ACK] Seq=1 Ack=1 Win=6432 Len=0
1711,0.023331,3.3.241.154,227.126.99.3,TCP,124,"30828  >  2772 [PSH, ACK] Seq=1461 Ack=1 Win=8760 Len=80[Packet size limited during capture]"
1713,0.023356,3.3.241.154,227.126.99.3,TCP,1504,[TCP Retransmission] 30828  >  2772 [ACK] Seq=4294965837 Ack=1 Win=8760 Len=1460[Packet size limited during capture]
1814,0.024875,227.216.50.74,241.84.157.231,TCP,44,1997  >  80 [ACK] Seq=1 Ack=1 Win=16560 Len=0
1886,0.025695,71.197.196.229,164.34.212.15,TCP,44,1169  >  80 [ACK] Seq=1 Ack=2079 Win=17520 Len=0
1930,0.0262,227.139.62.114,4.14.19.109,TCP,44,66  >  2396 [ACK] Seq=1 Ack=1 Win=32767 Len=0
2086,0.028507,225.36.9.72,3.142.99.184,TCP,56,3469  >  80 [ACK] Seq=1 Ack=1 Win=65044 Len=0[Packet size limited during capture]
2224,0.030609,237.230.37.55,115.34.215.99,TCP,771,"2178  >  6699 [PSH, ACK] Seq=1 Ack=1 Win=8580 Len=727[Packet size limited during capture]"
2335,0.031902,0.168.5.105,238.109.212.180,TCP,44,"57346  >  80 [FIN, ACK] Seq=1 Ack=1909 Win=8280 Len=0"
2363,0.032264,237.105.47.241,241.8.40.37,TCP,1424,80  >  1170 [ACK] Seq=1 Ack=1 Win=6432 Len=1380
2502,0.033936,69.138.113.164,0.3.117.181,TCP,44,52838  >  80 [ACK] Seq=1 Ack=1 Win=17520 Len=0
2593,0.035323,224.71.61.185,236.33.247.143,TCP,44,4205  >  80 [ACK] Seq=1 Ack=1 Win=4288 Len=0
2602,0.035489,239.186.251.61,244.119.108.175,TCP,1504,80  >  1734 [ACK] Seq=1 Ack=1 Win=65535 Len=1460[Packet size limited during capture]
2723,0.036979,69.156.24.47,140.157.28.177,TCP,580,1578  >  1241 [ACK] Seq=537 Ack=1 Win=17520 Len=536[Packet size limited during capture]
2726,0.037005,237.57.104.96,143.165.207.29,TCP,586,"1149  >  6699 [PSH, ACK] Seq=1 Ack=1 Win=17520 Len=542[Packet size limited during capture]"
2780,0.037887,3.3.241.146,238.217.239.46,TCP,1504,[TCP Retransmission] 10350  >  6082 [ACK] Seq=4294965837 Ack=1 Win=8760 Len=1460[Packet size limited during capture]
2792,0.03816,3.3.241.146,238.217.239.46,TCP,1504,"10350  >  6082 [PSH, ACK] Seq=1461 Ack=1 Win=8760 Len=1460[Packet size limited during capture]"
3187,0.044017,3.3.241.137,243.149.161.205,TCP,1504,"10566  >  16414 [PSH, ACK] Seq=1 Ack=1 Win=8760 Len=1460[Packet size limited during capture]"
3222,0.04443,237.74.51.119,243.191.80.2,TCP,1504,[TCP Retransmission] 1755  >  39063 [ACK] Seq=4294965837 Ack=1 Win=17280 Len=1460[Packet size limited during capture]
3266,0.045361,157.193.226.36,238.14.134.222,TCP,52,"80  >  4846 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460[Packet size limited during capture]"
3351,0.046742,159.154.219.196,69.25.244.169,TCP,1200,"80  >  4678 [FIN, ACK] Seq=4345 Ack=1 Win=33304 Len=1144[Packet size limited during capture]"
3382,0.047316,4.96.190.239,0.3.117.47,TCP,44,4693  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0
3520,0.048996,236.140.204.151,162.131.175.224,TCP,44,3122  >  8080 [ACK] Seq=1 Ack=1 Win=8760 Len=0
3604,0.050015,69.241.53.250,244.176.131.35,FTP-DATA,1504,FTP Data: 1460 bytes
3677,0.051021,225.207.236.198,241.46.212.25,TCP,44,1084  >  28914 [ACK] Seq=1 Ack=1 Win=8276 Len=0
3727,0.051707,3.197.162.130,227.212.58.164,TCP,44,59974  >  1214 [ACK] Seq=1 Ack=1 Win=17520 Len=0
3758,0.052249,69.110.153.212,3.130.128.129,TCP,1458,1214  >  3439 [ACK] Seq=1 Ack=1 Win=16633 Len=1414[Packet size limited during capture]
3822,0.052906,3.226.250.30,140.133.58.39,TCP,44,2195  >  80 [ACK] Seq=1 Ack=1 Win=16932 Len=0
3919,0.05428,3.3.241.136,227.9.189.140,TCP,1444,[TCP Retransmission] 10646  >  1101 [ACK] Seq=1401 Ack=1 Win=8760 Len=1400[Packet size limited during capture]
4089,0.056826,0.121.193.213,3.13.73.143,TCP,1504,80  >  3811 [ACK] Seq=10221 Ack=1 Win=13936 Len=1460
4331,0.060639,225.26.166.94,115.51.212.37,TCP,44,2064  >  4662 [ACK] Seq=1 Ack=1 Win=17520 Len=0
4340,0.060757,0.2.253.224,1.44.202.231,TCP,1368,"80  >  62220 [PSH, ACK] Seq=1415 Ack=1 Win=25452 Len=1324[Packet size limited during capture]"
4417,0.061836,237.134.72.240,162.139.205.253,TCP,44,1813  >  3128 [ACK] Seq=1 Ack=1236 Win=47918 Len=0
4466,0.062528,157.193.227.112,157.202.195.188,TCP,580,80  >  1703 [ACK] Seq=1 Ack=1 Win=57352 Len=536
4472,0.062655,4.80.176.55,227.212.212.118,TCP,44,4216  >  1214 [ACK] Seq=1 Ack=1 Win=64029 Len=0
4730,0.066232,227.247.64.2,1.46.70.12,TCP,1504,8080  >  1364 [ACK] Seq=10221 Ack=1 Win=32120 Len=1460[Packet size limited during capture]
4777,0.06699,241.38.75.203,3.176.6.108,TCP,1081,"80  >  64760 [PSH, ACK] Seq=1461 Ack=1 Win=16670 Len=1037[Packet size limited during capture]"
4899,0.068864,3.82.80.32,238.109.212.178,TCP,56,1056  >  80 [ACK] Seq=1 Ack=1 Win=16560 Len=0[Packet size limited during capture]
5029,0.070619,236.242.36.251,0.61.219.228,UDP,68,30814  >  39038 Len=36
